record_type,clade,taxonID,scientificName,genus,specificEpithet,infraspecificEpithet,scientificNameID,gbif_id,lookup_method,gbif_status,gbif_confidence,accepted_name,accepted_gbif_id,accepted_gbif_url,error,Species,EDGE.rank,Family,Order,edge.med,ed.med,tbl.med,above.med.tot,above.med.perc,above.med,threat,EDGE.List,synonym_edge_keys
edge_original,gymno,Wollemia_nobilis,Wollemia nobilis,Wollemia,nobilis,,,,name_match,ACCEPTED,100,Wollemia nobilis,2685085,https://gbif.org/species/2685085,,Wollemia_nobilis,2,Araucariaceae,Pinales,130.8306652,136.095033,136.095033,100,1.0000,y,CR,y,
edge_original,gymno,Araucaria_angustifolia,Araucaria angustifolia,Araucaria,angustifolia,,,,name_match,ACCEPTED,99,Araucaria angustifolia,2684940,https://gbif.org/species/2684940,,Araucaria_angustifolia,3,Araucariaceae,Pinales,39.60004335,41.84383112,28.090047,100,1.0000,y,CR,y,
edge_original,gymno,Araucaria_araucana,Araucaria araucana,Araucaria,araucana,,,,name_match,ACCEPTED,100,Araucaria araucana,2684984,https://gbif.org/species/2684984,,Araucaria_araucana,8,Araucariaceae,Pinales,26.84981647,56.06130983,28.090047,100,1.0000,y,EN,y,
edge_original,gymno,Microcycas_calocoma,Microcycas calocoma,Microcycas,calocoma,,,,name_match,ACCEPTED,100,Microcycas calocoma,2683622,https://gbif.org/species/2683622,,Microcycas_calocoma,6,Zamiaceae,Cycadales,28.65050824,29.42105,29.42105,100,1.0000,y,CR,y,
edge_original,gymno,Welwitschia_mirabilis,Welwitschia mirabilis,Welwitschia,mirabilis,,,,name_match,ACCEPTED,100,Welwitschia mirabilis,5275521,https://gbif.org/species/5275521,,Welwitschia_mirabilis,4,Welwitschiaceae,Welwitschiales,39.29721291,114.649562,114.649562,100,1.0000,y,NA,n,
edge_original,gymno,Ginkgo_biloba,Ginkgo biloba,Ginkgo,biloba,,,,name_match,ACCEPTED,100,Ginkgo biloba,2687885,https://gbif.org/species/2687885,,Ginkgo_biloba,1,Ginkgoaceae,Ginkgoales,148.9072295,315,315,100,1.0000,y,EN,y,
edge_original,gymno,Acmopyle_sahniana,Acmopyle sahniana,Acmopyle,sahniana,,,,name_match,ACCEPTED,100,Acmopyle sahniana,2687715,https://gbif.org/species/2687715,,Acmopyle_sahniana,5,Podocarpaceae,Pinales,30.33005201,32.52186058,29.379558,100,1.0000,y,CR,y,
edge_original,gymno,Sciadopitys_verticillata,Sciadopitys verticillata,Sciadopitys,verticillata,,,,name_match,ACCEPTED,100,Sciadopitys verticillata,2684904,https://gbif.org/species/2684904,,Sciadopitys_verticillata,7,Sciadopityaceae,Pinales,27.99810691,223.323794,223.323794,100,1.0000,y,NT,n,
edge_original,gymno,Parasitaxus_usta,Parasitaxus usta,Parasitaxus,usta,,,,name_match,ACCEPTED,100,Parasitaxus usta,2687701,https://gbif.org/species/2687701,,Parasitaxus_usta,9,Podocarpaceae,Pinales,24.41816774,101.5976898,100.731852,100,1.0000,y,VU,y,
edge_original,gymno,Taiwania_cryptomerioides,Taiwania cryptomerioides,Taiwania,cryptomerioides,,,,name_match,ACCEPTED,100,Taiwania cryptomerioides,5284272,https://gbif.org/species/5284272,,Taiwania_cryptomerioides,10,Cupressaceae,Pinales,21.21998615,86.097673,86.097673,100,1.0000,y,VU,y,
edge_original,gymno,Pseudotaxus_chienii,Pseudotaxus chienii,Pseudotaxus,chienii,,,,name_match,ACCEPTED,100,Pseudotaxus chienii,2685116,https://gbif.org/species/2685116,,Pseudotaxus_chienii,16,Taxaceae,Pinales,15.49579212,62.005306,62.005306,100,1.0000,y,VU,y,
edge_original,gymno,Cathaya_argyrophylla,Cathaya argyrophylla,Cathaya,argyrophylla,,,,name_match,ACCEPTED,100,Cathaya argyrophylla,2686150,https://gbif.org/species/2686150,,Cathaya_argyrophylla,12,Pinaceae,Pinales,18.20463328,71.322332,71.322332,100,1.0000,y,VU,y,
edge_original,gymno,Pseudolarix_amabilis,Pseudolarix amabilis,Pseudolarix,amabilis,,,,name_match,ACCEPTED,100,Pseudolarix amabilis,2686287,https://gbif.org/species/2686287,,Pseudolarix_amabilis,15,Pinaceae,Pinales,15.73923332,66.3338717,66.333857,100,1.0000,y,VU,y,
edge_original,gymno,Sequoiadendron_giganteum,Sequoiadendron giganteum,Sequoiadendron,giganteum,,,,name_match,ACCEPTED,100,Sequoiadendron giganteum,2684120,https://gbif.org/species/2684120,,Sequoiadendron_giganteum,14,Cupressaceae,Pinales,17.09425868,35.63786579,30.163409,100,1.0000,y,EN,y,
edge_original,gymno,Metasequoia_glyptostroboides,Metasequoia glyptostroboides,Metasequoia,glyptostroboides,,,,name_match,ACCEPTED,100,Metasequoia glyptostroboides,5284231,https://gbif.org/species/5284231,,Metasequoia_glyptostroboides,11,Cupressaceae,Pinales,19.21685566,39.14641313,37.080714,100,1.0000,y,EN,y,
edge_original,gymno,Sequoia_sempervirens,Sequoia sempervirens,Sequoia,sempervirens,,,,name_match,ACCEPTED,100,Sequoia sempervirens,2683909,https://gbif.org/species/2683909,,Sequoia_sempervirens,13,Cupressaceae,Pinales,17.29705846,35.51783115,30.163409,100,1.0000,y,EN,y,
edge_original,gymno,Saxegothaea_conspicua,Saxegothaea conspicua,Saxegothaea,conspicua,,,,name_match,ACCEPTED,100,Saxegothaea conspicua,2687717,https://gbif.org/species/2687717,,Saxegothaea_conspicua,18,Podocarpaceae,Pinales,14.26280113,114.640293,114.640293,100,1.0000,y,NT,n,
edge_original,gymno,Glyptostrobus_pensilis,Glyptostrobus pensilis,Glyptostrobus,pensilis,,,,name_match,ACCEPTED,100,Glyptostrobus pensilis,2684155,https://gbif.org/species/2684155,,Glyptostrobus_pensilis,17,Cupressaceae,Pinales,14.28840151,14.87418275,13.973626,100,1.0000,y,CR,y,
edge_original,gymno,Stangeria_eriopus,Stangeria eriopus,Stangeria,eriopus,,,,name_match,ACCEPTED,99,Stangeria eriopus,2683200,https://gbif.org/species/2683200,,Stangeria_eriopus,22,Zamiaceae,Cycadales,12.17087202,50.759524,50.759524,100,1.0000,y,VU,y,
edge_original,gymno,Agathis_australis,Agathis australis,Agathis,australis,,,,name_match,ACCEPTED,99,Agathis australis,5284415,https://gbif.org/species/5284415,,Agathis_australis,21,Araucariaceae,Pinales,12.35612056,56.65608289,56.41335262,98,0.9800,y,NA,n,
edge_original,gymno,Pherosphaera_hookeriana,Pherosphaera hookeriana,Pherosphaera,hookeriana,,,,name_match,ACCEPTED,99,Pherosphaera hookeriana,2687809,https://gbif.org/species/2687809,,Pherosphaera_hookeriana,23,Podocarpaceae,Pinales,11.27003811,97.11447448,3.236226,100,1.0000,y,NT,n,
edge_original,gymno,Prumnopitys_standleyi,Prumnopitys standleyi,Prumnopitys,standleyi,,,,name_match,ACCEPTED,99,Prumnopitys standleyi,2687259,https://gbif.org/species/2687259,,Prumnopitys_standleyi,20,Podocarpaceae,Pinales,13.20900833,28.50818234,27.05862949,100,1.0000,y,EN,y,
edge_original,gymno,Pherosphaera_fitzgeraldii,Pherosphaera fitzgeraldii,Pherosphaera,fitzgeraldii,,,,name_match,ACCEPTED,99,Pherosphaera fitzgeraldii,2687656,https://gbif.org/species/2687656,,Pherosphaera_fitzgeraldii,19,Podocarpaceae,Pinales,13.93494253,14.91918662,3.236226,100,1.0000,y,CR,y,
edge_original,gymno,Prumnopitys_ladei,Prumnopitys ladei,Prumnopitys,ladei,,,,name_match,ACCEPTED,99,Prumnopitys ladei,2687253,https://gbif.org/species/2687253,,Prumnopitys_ladei,24,Podocarpaceae,Pinales,11.02646173,45.21399795,45.213983,100,1.0000,y,VU,y,
edge_original,gymno,Taxus_floridana,Taxus floridana,Taxus,floridana,,,,name_match,ACCEPTED,99,Taxus floridana,5284513,https://gbif.org/species/5284513,,Taxus_floridana,26,Taxaceae,Pinales,8.710956803,9.324557087,9.217281,100,1.0000,y,CR,y,
edge_original,gymno,Araucaria_heterophylla,Araucaria heterophylla,Araucaria,heterophylla,,,,name_match,ACCEPTED,100,Araucaria heterophylla,2684969,https://gbif.org/species/2684969,,Araucaria_heterophylla,25,Araucariaceae,Pinales,9.748978794,39.45402,39.45402,100,1.0000,y,VU,y,
edge_original,gymno,Cycas_hongheensis,Cycas hongheensis,Cycas,hongheensis,,,,name_match,ACCEPTED,99,Cycas hongheensis,7860381,https://gbif.org/species/7860381,,Cycas_hongheensis,27,Cycadaceae,Cycadales,8.184516984,10.323199,10.323199,99,0.9900,y,CR,y,
edge_original,gymno,Dioon_spinulosum,Dioon spinulosum,Dioon,spinulosum,,,,name_match,ACCEPTED,99,Dioon spinulosum,2683495,https://gbif.org/species/2683495,,Dioon_spinulosum,28,Zamiaceae,Cycadales,7.645641394,14.83047222,14.691371,100,1.0000,y,EN,y,
edge_original,gymno,Cycas_multipinnata,Cycas multipinnata,Cycas,multipinnata,,,,name_match,ACCEPTED,100,Cycas multipinnata,2683291,https://gbif.org/species/2683291,,Cycas_multipinnata,31,Cycadaceae,Cycadales,7.100958959,8.696645,8.696645,100,1.0000,y,CR,y,
edge_original,gymno,Prumnopitys_andina,Prumnopitys andina,Prumnopitys,andina,,,,name_match,ACCEPTED,99,Prumnopitys andina,2687286,https://gbif.org/species/2687286,,Prumnopitys_andina,29,Podocarpaceae,Pinales,7.460033107,32.55605589,32.545108,100,1.0000,y,VU,y,
edge_original,gymno,Araucaria_schmidii,Araucaria schmidii,Araucaria,schmidii,,,,name_match,ACCEPTED,99,Araucaria schmidii,2684995,https://gbif.org/species/2684995,,Araucaria_schmidii,30,Araucariaceae,Pinales,7.159464379,7.465446853,6.41365,100,1.0000,y,CR,y,
edge_original,gymno,Pseudotsuga_japonica,Pseudotsuga japonica,Pseudotsuga,japonica,,,,name_match,ACCEPTED,100,Pseudotsuga japonica,2685851,https://gbif.org/species/2685851,,Pseudotsuga_japonica,32,Pinaceae,Pinales,6.674360948,14.22535389,13.901389,100,1.0000,y,EN,y,
edge_original,gymno,Manoao_colensoi,Manoao colensoi,Manoao,colensoi,,,,name_match,ACCEPTED,100,Manoao colensoi,2687870,https://gbif.org/species/2687870,,Manoao_colensoi,33,Podocarpaceae,Pinales,6.588833435,104.0223412,100.731852,97,0.9700,y,LC,n,
edge_original,gymno,Dioon_rzedowskii,Dioon rzedowskii,Dioon,rzedowskii,,,,name_match,ACCEPTED,99,Dioon rzedowskii,2683519,https://gbif.org/species/2683519,,Dioon_rzedowskii,34,Zamiaceae,Cycadales,6.285291005,12.31907522,9.894908,100,1.0000,y,EN,y,
edge_original,gymno,Dioon_mejiae,Dioon mejiae,Dioon,mejiae,,,,name_match,ACCEPTED,100,Dioon mejiae,2683516,https://gbif.org/species/2683516,,Dioon_mejiae,36,Zamiaceae,Cycadales,5.908927978,12.48379247,9.894908,100,1.0000,y,EN,y,
edge_original,gymno,Falcatifolium_angustum,Falcatifolium angustum,Falcatifolium,angustum,,,,name_match,ACCEPTED,99,Falcatifolium angustum,2687757,https://gbif.org/species/2687757,,Falcatifolium_angustum,38,Podocarpaceae,Pinales,5.81687881,13.06163572,12.20081812,100,1.0000,y,EN,y,
edge_original,gymno,Podocarpus_henkelii,Podocarpus henkelii,Podocarpus,henkelii,,,,name_match,ACCEPTED,99,Podocarpus henkelii,5286114,https://gbif.org/species/5286114,,Podocarpus_henkelii,35,Podocarpaceae,Pinales,6.277113568,14.446517,14.446517,100,1.0000,y,EN,y,
